Word,Frecuency,Frecuency in sections
Ms.,91,5- 0- 4- 8- 5- 14- 16- 11- 20- 8
ST.,80,5- 3- 2- 9- 2- 6- 23- 11- 10- 9
Win,71,8- 2- 3- 2- 5- 8- 25- 3- 13- 2
Winfrey,51,7- 1- 1- 1- 1- 6- 22- 2- 9- 1
Ver,50,1- 0- 2- 3- 3- 11- 16- 6- 3- 5
show,50,8- 2- 11- 1- 4- 8- 2- 4- 2- 8
T.S,42,0- 0- 2- 6- 1- 2- 10- 10- 6- 5
TIM,40,4- 5- 1- 5- 3- 1- 11- 3- 5- 2
eve,35,0- 3- 2- 4- 0- 5- 10- 3- 4- 4
Times,34,4- 5- 1- 4- 3- 1- 8- 2- 4- 2
time,34,4- 5- 1- 4- 3- 1- 8- 2- 4- 2
Oprah,33,2- 1- 1- 3- 2- 3- 6- 4- 10- 1
day,32,6- 3- 2- 0- 4- 5- 3- 3- 2- 4
ring,31,3- 0- 0- 2- 6- 4- 2- 5- 4- 5
thin,29,0- 0- 0- 1- 1- 6- 10- 6- 3- 2
man,28,0- 0- 2- 0- 0- 1- 8- 7- 2- 8
Men,27,4- 2- 0- 2- 0- 2- 4- 6- 3- 4
talk,24,1- 1- 2- 0- 2- 8- 4- 4- 1- 1
n't,23,0- 0- 0- 2- 0- 5- 11- 3- 1- 1
red,23,0- 0- 1- 1- 2- 2- 6- 5- 2- 4
son,22,1- 0- 2- 0- 0- 6- 5- 4- 0- 4
M.D,22,0- 0- 2- 3- 2- 5- 4- 1- 2- 3
end,19,1- 0- 0- 2- 0- 1- 6- 2- 5- 2
things,19,0- 0- 0- 0- 0- 4- 5- 5- 3- 2
CBS,19,0- 0- 14- 0- 0- 5- 0- 0- 0- 0
David,19,0- 0- 1- 0- 0- 0- 0- 0- 18- 0
likes,19,0- 0- 0- 2- 0- 1- 2- 4- 6- 4
film,18,2- 0- 0- 0- 0- 0- 5- 0- 11- 0
Call,16,1- 0- 0- 0- 0- 2- 11- 0- 2- 0
Syndicate,16,0- 0- 15- 0- 0- 0- 1- 0- 0- 0
King,16,0- 1- 0- 0- 1- 4- 4- 1- 3- 2
love,15,1- 0- 0- 0- 0- 0- 11- 1- 2- 0
Syndicated,15,0- 0- 15- 0- 0- 0- 0- 0- 0- 0
ABC,15,0- 0- 14- 0- 0- 0- 0- 0- 1- 0
years,15,1- 2- 0- 0- 2- 1- 4- 1- 1- 3
Springer,14,3- 0- 0- 0- 5- 3- 0- 0- 0- 3
people,14,2- 0- 0- 0- 1- 0- 3- 7- 1- 0
woman,13,0- 0- 0- 0- 0- 0- 4- 4- 1- 4
story,13,0- 0- 0- 3- 2- 0- 2- 1- 3- 2
real,13,0- 0- 0- 1- 0- 2- 4- 3- 0- 3
Women,13,0- 0- 0- 0- 0- 0- 4- 4- 1- 4
News,12,1- 0- 1- 0- 4- 3- 0- 1- 0- 2
Life,12,0- 3- 1- 0- 0- 4- 2- 1- 1- 0
read,12,1- 0- 1- 3- 0- 0- 3- 4- 0- 0
Lives,12,0- 3- 1- 0- 0- 4- 2- 1- 1- 0
book,12,0- 0- 0- 6- 0- 0- 3- 2- 1- 0
turn,11,1- 0- 1- 1- 1- 2- 2- 0- 1- 2
Turns,11,1- 0- 1- 1- 1- 2- 2- 0- 1- 2
Lisa,11,0- 0- 0- 0- 0- 0- 0- 0- 11- 0
movie,11,1- 0- 0- 0- 0- 0- 8- 1- 1- 0
