Word,Frecuency,Frecuency in sections
EUR,63,5- 5- 6- 10- 10- 3- 5- 7- 6- 6
Euro,62,5- 5- 6- 10- 10- 3- 4- 7- 6- 6
currency,50,4- 2- 10- 3- 6- 6- 7- 7- 2- 3
European,33,3- 3- 5- 5- 3- 1- 3- 6- 2- 2
single,31,2- 2- 8- 1- 4- 3- 2- 7- 1- 1
day,11,0- 1- 1- 1- 1- 1- 2- 0- 2- 2
Bank,10,0- 0- 0- 1- 0- 3- 1- 1- 0- 4
Union,9,1- 0- 3- 1- 0- 1- 1- 1- 1- 0
today,8,0- 1- 1- 1- 1- 1- 2- 0- 1- 0
countries,8,1- 0- 3- 1- 1- 0- 0- 1- 1- 0
January,7,0- 1- 1- 1- 0- 0- 1- 1- 2- 0
low,7,0- 0- 1- 0- 1- 0- 2- 3- 0- 0
plans,7,0- 1- 2- 0- 3- 0- 0- 1- 0- 0
Zambia,7,0- 0- 0- 0- 0- 7- 0- 0- 0- 0
rates,6,0- 0- 3- 0- 1- 0- 0- 2- 0- 0
market,6,0- 0- 0- 0- 1- 3- 0- 0- 0- 2
nations,6,0- 1- 2- 0- 0- 0- 1- 0- 1- 1
financial,6,0- 0- 1- 0- 1- 2- 1- 0- 0- 1
launch,6,0- 2- 0- 0- 2- 0- 1- 0- 1- 0
mortgage,6,0- 0- 0- 0- 6- 0- 0- 0- 0- 0
economic,6,0- 0- 4- 0- 0- 0- 1- 0- 1- 0
informed,6,4- 0- 0- 0- 0- 0- 0- 2- 0- 0
Britain,6,0- 0- 0- 0- 3- 0- 0- 3- 0- 0
codes,5,0- 0- 0- 0- 0- 0- 5- 0- 0- 0
France,5,1- 0- 4- 0- 0- 0- 0- 0- 0- 0
make,5,0- 0- 1- 0- 0- 1- 0- 2- 0- 1
issue,5,0- 0- 1- 0- 0- 0- 2- 1- 0- 1
Juppe,5,0- 0- 5- 0- 0- 0- 0- 0- 0- 0
German,5,0- 0- 1- 0- 0- 0- 0- 0- 3- 1
art,5,0- 0- 0- 2- 1- 1- 1- 0- 0- 0
monetary,5,0- 0- 2- 1- 0- 0- 0- 2- 0- 0
ten,4,1- 0- 0- 1- 0- 0- 2- 0- 0- 0
design,4,0- 0- 0- 4- 0- 0- 0- 0- 0- 0
opinion,4,4- 0- 0- 0- 0- 0- 0- 0- 0- 0
main,4,0- 0- 1- 0- 1- 1- 1- 0- 0- 0
preparations,4,0- 0- 0- 2- 0- 0- 1- 1- 0- 0
reports,4,0- 1- 0- 1- 1- 0- 0- 0- 0- 1
National,4,0- 0- 1- 0- 0- 0- 1- 0- 1- 1
launched,4,0- 1- 0- 0- 1- 0- 1- 0- 1- 0
member,4,0- 1- 1- 0- 0- 0- 0- 1- 1- 0
benefit,4,0- 0- 0- 0- 0- 1- 0- 1- 0- 2
interest,4,0- 0- 1- 0- 1- 0- 0- 2- 0- 0
prepared,4,0- 0- 0- 0- 1- 0- 0- 0- 3- 0
issued,3,0- 0- 0- 0- 0- 0- 2- 0- 0- 1
include,3,0- 0- 0- 3- 0- 0- 0- 0- 0- 0
spokesman,3,0- 2- 0- 0- 1- 0- 0- 0- 0- 0
body,3,0- 0- 0- 1- 0- 0- 2- 0- 0- 0
ahead,3,0- 0- 0- 0- 2- 0- 0- 1- 0- 0
Central,3,0- 0- 0- 1- 0- 0- 0- 1- 0- 1
criteria,3,0- 1- 2- 0- 0- 0- 0- 0- 0- 0
