Word,Frecuency,Frecuency in sections
Microsoft,136,2- 16- 12- 15- 18- 22- 26- 11- 6- 8
Ted,51,0- 7- 2- 4- 6- 7- 17- 2- 1- 5
D.C,50,0- 5- 8- 1- 3- 12- 13- 3- 1- 4
IBM,47,0- 0- 0- 0- 0- 23- 24- 0- 0- 0
antitrust,46,1- 3- 9- 8- 7- 2- 8- 4- 2- 2
ill,41,0- 9- 10- 5- 2- 2- 4- 4- 4- 1
wins,32,1- 0- 0- 0- 0- 16- 12- 0- 2- 1
Windows,30,0- 0- 0- 0- 0- 16- 12- 0- 2- 0
cases,30,2- 1- 7- 10- 2- 1- 4- 0- 2- 1
days,29,2- 2- 2- 4- 3- 3- 0- 3- 5- 5
acts,29,0- 2- 3- 13- 6- 0- 2- 1- 1- 1
part,28,1- 0- 6- 5- 3- 1- 5- 4- 3- 0
software,24,1- 0- 2- 5- 1- 5- 2- 5- 2- 1
trial,23,1- 7- 3- 2- 3- 2- 2- 0- 0- 3
government,23,1- 0- 4- 5- 0- 1- 6- 1- 0- 5
Justice,23,0- 0- 6- 3- 3- 1- 4- 4- 2- 0
put,22,2- 1- 1- 1- 2- 5- 5- 2- 2- 1
law,21,0- 3- 11- 1- 1- 0- 4- 0- 0- 1
Department,21,0- 0- 4- 3- 3- 1- 4- 4- 2- 0
company,19,0- 1- 5- 4- 4- 1- 2- 0- 1- 1
make,19,0- 0- 0- 1- 3- 4- 8- 2- 1- 0
computer,18,2- 1- 0- 1- 1- 5- 4- 2- 1- 1
price,18,0- 0- 0- 0- 0- 10- 8- 0- 0- 0
business,17,0- 0- 2- 3- 1- 4- 5- 0- 1- 1
Norris,15,0- 0- 0- 0- 0- 5- 10- 0- 0- 0
makers,15,0- 0- 0- 0- 3- 3- 7- 2- 0- 0
states,15,0- 0- 3- 1- 3- 1- 3- 0- 2- 2
Japan,14,0- 0- 0- 0- 14- 0- 0- 0- 0- 0
Corp,14,0- 1- 1- 1- 2- 2- 2- 2- 3- 0
Mark,14,0- 1- 1- 1- 3- 2- 2- 3- 0- 1
P.C,13,0- 0- 1- 4- 1- 4- 3- 0- 0- 0
legal,13,0- 1- 4- 2- 0- 0- 4- 1- 0- 1
testimony,12,0- 0- 0- 0- 0- 2- 10- 0- 0- 0
Washington,12,0- 1- 2- 1- 4- 0- 1- 1- 0- 2
offer,12,0- 0- 0- 0- 1- 3- 6- 1- 1- 0
Caldera,12,0- 11- 1- 0- 0- 0- 0- 0- 0- 0
lawyers,11,0- 1- 8- 0- 0- 0- 2- 0- 0- 0
practice,11,0- 0- 1- 4- 5- 0- 0- 0- 1- 0
year,11,0- 0- 4- 2- 2- 0- 0- 3- 0- 0
Internet,11,1- 0- 1- 4- 1- 0- 1- 2- 1- 0
major,11,0- 1- 1- 1- 2- 2- 2- 1- 1- 0
Los,11,0- 0- 3- 0- 1- 3- 2- 0- 0- 2
suit,11,0- 1- 3- 2- 0- 1- 1- 0- 2- 1
OS/2,10,0- 0- 0- 0- 0- 4- 6- 0- 0- 0
Sun,10,0- 0- 1- 8- 0- 1- 0- 0- 0- 0
market,10,0- 1- 0- 1- 3- 0- 1- 3- 0- 1
court,10,3- 1- 1- 1- 0- 2- 1- 0- 1- 0
products,10,0- 1- 0- 1- 2- 1- 3- 1- 0- 1
expert,10,0- 1- 3- 0- 1- 0- 4- 0- 0- 1
attorneys,10,0- 3- 4- 0- 1- 0- 0- 0- 1- 1
