Word,Frecuency,Frecuency in sections
Gore,129,4- 25- 10- 5- 3- 6- 8- 15- 10- 43
side,91,3- 11- 8- 2- 2- 2- 6- 16- 8- 33
President,79,3- 9- 7- 2- 2- 2- 6- 11- 8- 29
ate,65,2- 14- 3- 3- 1- 2- 5- 15- 4- 16
campaign,61,1- 6- 3- 7- 7- 2- 3- 8- 11- 13
St.,59,1- 13- 5- 2- 0- 3- 5- 12- 1- 17
Democrat,49,4- 6- 4- 0- 2- 2- 0- 7- 2- 22
Clinton,45,1- 6- 2- 1- 0- 0- 1- 7- 4- 23
men,34,1- 8- 1- 2- 1- 0- 4- 6- 2- 9
Democratic,32,2- 2- 4- 0- 2- 2- 0- 2- 2- 16
presidential,31,1- 5- 3- 1- 1- 1- 2- 1- 5- 11
Red,29,1- 3- 1- 1- 0- 4- 7- 3- 1- 8
nation,27,2- 4- 1- 1- 2- 1- 0- 0- 2- 14
House,27,3- 5- 2- 1- 0- 0- 0- 3- 2- 11
Vice,26,1- 2- 3- 1- 1- 1- 3- 5- 1- 8
pro,23,2- 9- 0- 0- 2- 1- 2- 4- 0- 3
part,22,0- 3- 0- 2- 2- 0- 2- 3- 3- 7
son,22,0- 2- 0- 0- 0- 1- 1- 4- 1- 13
end,21,0- 8- 1- 0- 1- 2- 1- 4- 0- 4
day,21,1- 2- 6- 2- 0- 1- 1- 3- 2- 3
Sens,18,0- 2- 0- 0- 1- 0- 0- 5- 1- 9
hit,17,1- 3- 1- 1- 0- 0- 1- 2- 2- 6
states,17,0- 5- 2- 0- 0- 1- 0- 4- 0- 5
political,17,1- 3- 0- 1- 3- 0- 0- 4- 2- 3
year,15,2- 1- 0- 0- 0- 0- 1- 5- 0- 6
nomination,15,1- 4- 1- 0- 0- 1- 0- 0- 0- 8
N.Y.,14,0- 1- 0- 0- 1- 0- 2- 5- 1- 4
Gov,14,0- 4- 2- 0- 0- 0- 2- 1- 2- 3
White,14,1- 2- 1- 1- 0- 0- 0- 1- 2- 6
real,14,0- 1- 4- 0- 0- 0- 1- 0- 8- 0
Ron,13,0- 0- 2- 0- 0- 0- 0- 3- 1- 7
sit,13,0- 1- 3- 0- 1- 0- 2- 3- 2- 1
hard,13,0- 8- 0- 0- 1- 0- 1- 1- 0- 2
party,13,0- 2- 0- 1- 2- 0- 0- 2- 0- 6
public,12,1- 4- 1- 0- 0- 0- 1- 2- 0- 3
Hampshire,12,0- 6- 1- 0- 0- 1- 0- 1- 0- 3
announce,12,0- 4- 0- 1- 0- 1- 0- 3- 0- 3
make,12,0- 4- 0- 1- 0- 0- 2- 1- 2- 2
votes,11,1- 4- 2- 0- 0- 0- 0- 2- 0- 2
people,11,1- 0- 4- 0- 0- 1- 3- 1- 0- 1
home,11,1- 1- 4- 0- 0- 1- 4- 0- 0- 0
lead,11,0- 2- 1- 1- 0- 0- 0- 3- 1- 3
Republican,10,1- 3- 1- 0- 0- 0- 0- 2- 0- 3
America,10,1- 0- 2- 0- 0- 1- 0- 0- 1- 5
add,10,1- 0- 1- 0- 0- 0- 0- 1- 1- 6
show,10,0- 4- 1- 0- 0- 0- 1- 0- 0- 4
n't,10,1- 3- 1- 0- 0- 1- 1- 0- 0- 3
early,10,0- 4- 0- 0- 0- 0- 1- 1- 0- 4
Gephardt,10,0- 7- 0- 0- 1- 0- 0- 1- 0- 1
time,10,0- 2- 0- 0- 0- 0- 0- 1- 2- 5
