Word,Frecuency,Frecuency in sections
assess,575,37- 88- 43- 43- 179- 43- 104- 25- 11- 2
DAs,339,28- 46- 26- 30- 64- 55- 62- 23- 4- 1
model,163,8- 8- 16- 27- 30- 23- 30- 12- 9- 0
ith,131,3- 24- 19- 7- 38- 8- 24- 8- 0- 0
words,117,3- 9- 10- 0- 58- 19- 15- 1- 2- 0
utt,105,5- 37- 13- 2- 24- 16- 3- 5- 0- 0
IDs,104,12- 13- 23- 11- 21- 13- 8- 3- 0- 0
utterance,100,5- 35- 13- 1- 22- 16- 3- 5- 0- 0
cats,91,10- 14- 3- 2- 37- 7- 11- 4- 3- 0
class,91,4- 4- 2- 0- 60- 5- 13- 1- 2- 0
log,64,7- 9- 3- 3- 13- 3- 18- 6- 2- 0
task,63,3- 11- 1- 3- 13- 4- 22- 5- 1- 0
discourse,63,6- 6- 13- 13- 13- 2- 3- 2- 4- 1
Act,61,9- 15- 8- 4- 9- 4- 4- 6- 2- 0
form,59,5- 12- 4- 6- 20- 2- 6- 2- 2- 0
work,58,11- 4- 3- 3- 19- 0- 11- 4- 2- 1
Rob,57,3- 7- 16- 4- 9- 5- 8- 2- 2- 1
label,57,6- 22- 10- 5- 5- 1- 1- 2- 3- 2
types,55,1- 11- 3- 2- 14- 15- 6- 2- 1- 0
end,55,2- 7- 11- 6- 15- 5- 3- 5- 1- 0
WER,54,9- 18- 1- 3- 11- 5- 5- 1- 0- 1
recognize,54,2- 1- 3- 0- 34- 9- 4- 0- 1- 0
classification,53,3- 1- 2- 0- 29- 5- 10- 1- 2- 0
eat,53,3- 2- 3- 4- 31- 1- 5- 4- 0- 0
dialog,52,6- 8- 3- 2- 6- 3- 16- 6- 2- 0
approaches,51,3- 0- 2- 4- 10- 18- 7- 3- 4- 0
approach..,51,3- 0- 2- 4- 10- 18- 7- 3- 4- 0
Amma,50,1- 0- 10- 11- 14- 0- 7- 4- 2- 1
Sum,50,4- 2- 11- 0- 15- 8- 5- 4- 0- 1
grammar,49,1- 0- 10- 11- 14- 0- 7- 4- 2- 0
tag,49,6- 15- 1- 6- 3- 1- 16- 0- 0- 1
prosodic,48,0- 2- 2- 0- 32- 0- 5- 5- 2- 0
led,47,3- 2- 3- 2- 23- 3- 4- 4- 3- 0
versa,46,5- 13- 10- 6- 2- 4- 3- 2- 1- 0
train,45,3- 5- 0- 7- 10- 10- 5- 3- 2- 0
question,44,9- 20- 2- 2- 6- 0- 5- 0- 0- 0
Speech,43,6- 5- 4- 1- 7- 4- 10- 2- 4- 0
sets,43,3- 19- 0- 0- 10- 1- 9- 0- 0- 1
conversation,43,5- 13- 10- 5- 1- 4- 3- 1- 1- 0
features,41,0- 1- 3- 2- 28- 1- 2- 4- 0- 0
Modeling,40,2- 4- 6- 1- 3- 8- 7- 6- 3- 0
recognizer,40,2- 0- 1- 0- 25- 8- 3- 0- 1- 0
give,39,3- 1- 10- 1- 8- 9- 6- 0- 1- 0
depend,38,2- 6- 9- 2- 10- 3- 0- 5- 1- 0
Tables,38,6- 4- 2- 4- 14- 2- 5- 1- 0- 0
likelihood,38,0- 0- 14- 0- 18- 1- 3- 2- 0- 0
based,38,0- 6- 3- 3- 16- 0- 7- 2- 1- 0
sequence,37,0- 1- 17- 8- 5- 1- 5- 0- 0- 0
tree,36,0- 0- 0- 0- 33- 0- 2- 0- 1- 0
corpus,35,3- 7- 1- 1- 5- 2- 10- 4- 2- 0
