Word,Frecuency,Frecuency in sections
pass,145,12- 3- 9- 10- 6- 23- 16- 12- 45- 9
ads,129,4- 4- 14- 23- 6- 11- 23- 13- 27- 4
Ms.,108,11- 9- 8- 10- 5- 14- 4- 13- 28- 6
St.,104,7- 1- 13- 9- 14- 24- 3- 10- 16- 7
gay,96,5- 0- 14- 10- 5- 31- 8- 15- 4- 4
AIDS,88,7- 2- 8- 3- 12- 17- 7- 3- 26- 3
end,84,11- 7- 5- 2- 6- 2- 9- 1- 34- 7
Shepard,72,10- 3- 7- 4- 3- 6- 12- 4- 19- 4
son,69,9- 5- 2- 3- 1- 3- 4- 1- 37- 4
Cal,48,2- 0- 7- 1- 6- 8- 3- 10- 10- 1
crime,45,3- 0- 6- 0- 3- 20- 2- 3- 3- 5
man,41,3- 0- 2- 4- 2- 14- 1- 4- 9- 2
R.W,41,1- 2- 2- 4- 4- 2- 1- 4- 20- 1
Matt,41,4- 1- 3- 5- 2- 3- 2- 6- 12- 3
Henderson,38,6- 5- 0- 0- 0- 0- 3- 0- 21- 3
days,38,4- 1- 1- 6- 5- 5- 5- 2- 6- 3
people,37,3- 0- 3- 5- 5- 14- 0- 6- 1- 0
Matthew,37,3- 1- 3- 4- 2- 3- 2- 5- 11- 3
men,34,3- 0- 5- 1- 0- 10- 4- 5- 6- 0
led,34,2- 0- 3- 0- 4- 5- 2- 3- 12- 3
Tim,33,2- 0- 3- 0- 0- 3- 4- 6- 13- 2
McKinney,29,3- 5- 0- 0- 0- 0- 12- 0- 8- 1
acts,28,3- 0- 4- 0- 2- 10- 2- 2- 3- 2
sin,27,1- 0- 2- 3- 1- 4- 1- 6- 8- 1
call,26,0- 0- 3- 0- 4- 5- 2- 3- 8- 1
police,26,2- 0- 0- 0- 15- 4- 3- 1- 1- 0
age,26,1- 0- 3- 6- 2- 5- 1- 1- 6- 1
sex,25,1- 0- 7- 5- 0- 4- 0- 4- 2- 2
murder,24,1- 2- 0- 1- 0- 3- 3- 3- 6- 5
hate,23,1- 0- 5- 4- 1- 5- 0- 1- 3- 3
rights,23,2- 1- 4- 5- 2- 4- 2- 2- 0- 1
sexual,23,1- 0- 5- 5- 0- 4- 0- 4- 2- 2
beat,23,3- 2- 2- 2- 1- 1- 4- 1- 6- 1
gain,23,0- 0- 6- 3- 2- 1- 0- 4- 5- 2
leg,22,3- 1- 5- 2- 2- 3- 2- 0- 3- 1
Nation,21,0- 0- 7- 2- 0- 3- 1- 1- 3- 4
n't,20,1- 0- 2- 3- 0- 4- 0- 4- 6- 0
bias,20,2- 0- 0- 0- 2- 10- 0- 3- 0- 3
March,20,0- 0- 1- 0- 14- 5- 0- 0- 0- 0
time,18,0- 0- 1- 0- 0- 1- 3- 4- 7- 2
year,18,1- 0- 1- 2- 2- 6- 2- 0- 4- 0
Court,18,7- 0- 0- 0- 0- 0- 1- 0- 9- 1
turn,17,0- 0- 1- 0- 0- 1- 0- 1- 14- 0
death,17,2- 2- 4- 3- 0- 0- 0- 2- 3- 1
violence,17,1- 0- 5- 2- 0- 3- 2- 1- 2- 1
anti-gay,17,1- 0- 1- 0- 1- 7- 1- 2- 0- 4
law,16,3- 2- 5- 0- 0- 3- 0- 0- 1- 2
states,16,3- 0- 2- 1- 0- 4- 1- 0- 1- 4
kill,16,1- 0- 1- 0- 4- 5- 0- 2- 2- 1
Kills,16,1- 0- 1- 0- 4- 5- 0- 2- 2- 1
