Word,Frecuency,Frecuency in sections
Australia,64,7- 7- 9- 5- 1- 7- 4- 9- 9- 6
mine,43,8- 9- 4- 8- 5- 1- 2- 1- 3- 2
ill,39,11- 5- 6- 2- 0- 4- 2- 5- 4- 0
uranium,35,6- 8- 3- 6- 3- 1- 1- 1- 5- 1
ERA,34,6- 7- 3- 2- 2- 1- 5- 3- 1- 4
Australian,32,2- 1- 3- 1- 0- 6- 3- 6- 5- 5
day,26,3- 3- 1- 1- 2- 4- 1- 3- 4- 4
ore,26,5- 5- 0- 3- 4- 2- 1- 2- 4- 0
Jabiluka,26,4- 7- 2- 3- 3- 0- 1- 0- 5- 1
world,25,3- 4- 7- 2- 1- 3- 0- 1- 3- 1
government,21,3- 3- 3- 0- 0- 1- 3- 1- 5- 2
test,20,2- 6- 0- 7- 4- 1- 0- 0- 0- 0
Environment,19,4- 2- 5- 1- 1- 0- 0- 2- 4- 0
Age,19,1- 0- 7- 0- 1- 2- 1- 3- 2- 2
tons,17,3- 4- 2- 1- 2- 0- 1- 0- 4- 0
protest,16,0- 5- 0- 7- 4- 0- 0- 0- 0- 0
site,15,2- 6- 3- 3- 1- 0- 0- 0- 0- 0
environmental,14,4- 2- 3- 1- 0- 0- 0- 1- 3- 0
Act,14,1- 5- 2- 1- 2- 1- 1- 0- 1- 0
win,13,1- 1- 0- 3- 0- 4- 1- 1- 0- 2
year,13,1- 2- 4- 1- 1- 0- 1- 1- 2- 0
mining,13,2- 2- 5- 0- 1- 0- 0- 0- 2- 1
Heritage,13,0- 0- 7- 0- 1- 1- 0- 1- 2- 1
plan,12,2- 4- 0- 1- 1- 0- 1- 0- 2- 1
owners,11,3- 4- 1- 2- 0- 0- 0- 0- 0- 1
protesters,11,0- 3- 0- 5- 3- 0- 0- 0- 0- 0
mill,10,5- 0- 0- 0- 0- 2- 0- 1- 2- 0
Aboriginal,10,3- 2- 1- 2- 0- 0- 0- 0- 1- 1
Kakadu,10,0- 0- 4- 0- 1- 1- 1- 1- 1- 1
dollars,9,1- 1- 0- 1- 0- 2- 0- 2- 2- 0
news,9,0- 0- 0- 0- 0- 2- 2- 2- 1- 2
billion,9,2- 2- 0- 2- 0- 0- 0- 1- 2- 0
head,9,1- 1- 1- 0- 0- 0- 1- 1- 2- 2
Ranger,8,3- 1- 2- 0- 2- 0- 0- 0- 0- 0
company,8,2- 2- 1- 0- 1- 0- 1- 1- 0- 0
work,8,1- 5- 0- 0- 0- 0- 2- 0- 0- 0
lease,8,2- 2- 2- 2- 0- 0- 0- 0- 0- 0
Park,8,0- 0- 5- 0- 0- 0- 1- 0- 1- 1
Nations,8,0- 0- 3- 0- 0- 1- 1- 0- 2- 1
federal,8,0- 1- 0- 0- 0- 0- 3- 1- 0- 3
North,8,2- 1- 1- 1- 1- 0- 0- 0- 2- 0
today,8,0- 0- 0- 0- 0- 1- 1- 2- 3- 1
land,8,2- 4- 0- 2- 0- 0- 0- 0- 0- 0
Resources,7,1- 1- 1- 1- 1- 0- 1- 0- 1- 0
police,7,0- 0- 0- 5- 1- 0- 1- 0- 0- 0
National,7,0- 0- 2- 0- 0- 1- 1- 0- 2- 1
Paper,7,0- 0- 0- 0- 0- 3- 1- 2- 0- 1
yesterday,7,0- 0- 0- 0- 0- 3- 0- 1- 0- 3
lead,7,0- 0- 1- 0- 0- 2- 1- 1- 1- 1
area,7,0- 0- 2- 0- 1- 1- 0- 1- 2- 0
