Word,Frecuency,Frecuency in sections
Rich,185,11- 13- 11- 24- 50- 14- 15- 15- 20- 12
Gingrich,184,11- 13- 11- 24- 50- 13- 15- 15- 20- 12
Ms.,79,5- 2- 5- 7- 27- 5- 7- 7- 7- 7
aid,66,5- 3- 0- 4- 23- 4- 7- 7- 7- 6
ate,50,3- 3- 0- 4- 12- 5- 4- 4- 7- 8
men,42,7- 4- 5- 4- 7- 2- 1- 1- 7- 4
sets,42,3- 4- 1- 4- 2- 1- 8- 8- 6- 5
divorce,41,7- 3- 4- 5- 0- 5- 5- 5- 3- 4
days,40,3- 4- 3- 2- 17- 1- 1- 1- 5- 3
Newt,38,1- 2- 1- 1- 5- 2- 6- 6- 8- 6
led,37,6- 2- 3- 6- 4- 4- 3- 3- 4- 2
Marianne,31,1- 1- 1- 1- 5- 3- 5- 5- 6- 3
assets,30,2- 4- 1- 1- 0- 0- 7- 7- 6- 2
House,27,1- 2- 3- 2- 10- 3- 2- 2- 1- 1
Bisek,27,1- 1- 5- 8- 0- 0- 5- 5- 1- 1
Speaker,25,1- 1- 2- 2- 11- 3- 2- 2- 1- 0
years,24,3- 2- 1- 1- 3- 3- 3- 3- 4- 1
attorney,23,2- 2- 1- 2- 0- 2- 3- 3- 4- 4
filed,20,4- 2- 1- 3- 0- 3- 2- 2- 2- 1
calls,19,3- 2- 2- 1- 4- 1- 1- 1- 2- 2
Art,19,2- 1- 0- 2- 4- 3- 0- 0- 1- 6
Mayou,17,2- 1- 0- 1- 0- 0- 4- 4- 2- 3
couple,17,5- 1- 2- 1- 0- 1- 2- 2- 3- 0
agreement,17,3- 4- 1- 1- 0- 1- 0- 0- 7- 0
Washington,17,1- 0- 0- 0- 7- 4- 0- 0- 1- 4
Court,16,1- 1- 0- 6- 0- 1- 1- 1- 4- 1
Mayoue,16,2- 1- 0- 0- 0- 0- 4- 4- 2- 3
Evans,16,0- 1- 0- 3- 0- 1- 3- 3- 3- 2
judge,16,2- 0- 0- 2- 0- 0- 3- 3- 4- 2
man,15,0- 0- 2- 1- 8- 1- 1- 1- 1- 0
part,15,2- 1- 0- 2- 2- 2- 0- 0- 0- 6
life,15,0- 0- 0- 1- 6- 4- 1- 1- 1- 1
Gingriches,15,0- 1- 2- 3- 1- 2- 0- 0- 5- 1
law,14,0- 0- 2- 9- 0- 0- 0- 0- 0- 3
walks,14,0- 0- 0- 0- 14- 0- 0- 0- 0- 0
n't,14,0- 0- 0- 0- 9- 0- 1- 1- 1- 2
position,14,0- 0- 1- 1- 0- 0- 2- 2- 0- 8
lawyers,13,0- 0- 2- 8- 0- 0- 0- 0- 0- 3
deposition,13,0- 0- 1- 0- 0- 0- 2- 2- 0- 8
bouts,13,0- 0- 0- 3- 4- 0- 2- 2- 1- 1
relationship,13,0- 1- 0- 5- 0- 1- 2- 2- 1- 1
reach,13,1- 4- 1- 1- 1- 2- 0- 0- 2- 1
week,13,0- 0- 0- 1- 9- 0- 1- 1- 1- 0
hear,13,0- 2- 0- 2- 1- 1- 1- 1- 5- 0
wife,13,2- 2- 1- 2- 1- 2- 1- 1- 1- 0
public,12,0- 0- 0- 0- 4- 4- 0- 0- 3- 1
end,12,0- 1- 0- 0- 4- 2- 1- 1- 1- 2
late,12,2- 1- 0- 2- 4- 0- 0- 0- 2- 1
person,12,0- 1- 1- 3- 1- 2- 1- 1- 1- 1
questions,12,1- 0- 0- 8- 0- 0- 1- 1- 0- 1
