Word,Frecuency,Frecuency in sections
assess,205,4- 36- 40- 30- 26- 22- 11- 12- 3- 12- 9
ears,108,3- 16- 26- 20- 11- 13- 8- 3- 3- 3- 2
quake,98,2- 24- 17- 27- 8- 4- 5- 2- 3- 5- 1
art,75,1- 12- 15- 19- 8- 6- 3- 3- 3- 3- 2
Turks,70,4- 9- 12- 3- 3- 9- 8- 4- 2- 7- 9
aid,61,0- 17- 13- 4- 5- 7- 3- 5- 1- 4- 2
Red,57,12- 8- 7- 7- 5- 7- 4- 4- 2- 1- 0
days,51,2- 1- 14- 4- 7- 13- 2- 1- 3- 2- 2
Earth,46,1- 9- 10- 11- 3- 1- 3- 2- 2- 3- 1
earthquake,44,1- 9- 10- 9- 3- 1- 3- 2- 2- 3- 1
MIT,44,1- 11- 7- 4- 6- 4- 2- 1- 1- 2- 5
man,39,0- 2- 9- 0- 7- 11- 3- 4- 0- 0- 3
Turkey,36,3- 5- 6- 1- 2- 4- 4- 3- 2- 2- 4
Izmit,35,1- 4- 6- 4- 6- 4- 2- 1- 1- 2- 4
men,33,1- 8- 9- 2- 5- 5- 0- 0- 1- 1- 1
Turkish,32,1- 4- 6- 2- 1- 4- 3- 1- 0- 5- 5
work,32,1- 5- 8- 0- 4- 11- 2- 1- 0- 0- 0
Works,32,1- 5- 8- 0- 4- 11- 2- 1- 0- 0- 0
people,30,0- 4- 3- 0- 9- 7- 2- 1- 2- 2- 0
rescue,29,2- 0- 9- 0- 3- 9- 2- 2- 0- 1- 1
a.m,28,1- 7- 4- 4- 6- 4- 1- 0- 1- 0- 0
builds,26,1- 4- 8- 0- 5- 6- 1- 0- 0- 1- 0
fault,25,0- 14- 2- 9- 0- 0- 0- 0- 0- 0- 0
Istanbul,25,1- 3- 9- 1- 2- 0- 3- 2- 0- 2- 2
buildings,24,1- 3- 7- 0- 5- 6- 1- 0- 0- 1- 0
workers,23,1- 0- 7- 0- 3- 10- 2- 0- 0- 0- 0
AREAS,22,2- 2- 4- 2- 4- 1- 5- 0- 0- 1- 1
dead,22,10- 0- 0- 0- 4- 6- 2- 0- 0- 0- 0
areas,22,2- 2- 4- 2- 4- 1- 5- 0- 0- 1- 1
lies,21,0- 1- 10- 1- 2- 7- 0- 0- 0- 0- 0
Sea,21,0- 0- 4- 4- 4- 6- 1- 1- 0- 0- 1
east,20,1- 1- 3- 4- 1- 2- 2- 2- 0- 3- 1
injured,18,11- 1- 1- 0- 0- 1- 1- 0- 2- 1- 0
city,18,0- 4- 0- 1- 5- 1- 4- 1- 0- 0- 2
Tuesday,17,1- 1- 4- 2- 1- 3- 1- 1- 1- 1- 1
tens,17,0- 5- 4- 1- 2- 3- 0- 1- 0- 0- 1
years,17,0- 4- 7- 3- 1- 2- 0- 0- 0- 0- 0
team,16,0- 3- 3- 0- 1- 7- 0- 2- 0- 0- 0
thin,16,0- 1- 6- 1- 1- 7- 0- 0- 0- 0- 0
sides,16,0- 2- 2- 0- 7- 3- 1- 1- 0- 0- 0
part,16,0- 1- 3- 2- 4- 3- 0- 1- 1- 0- 1
arc,16,0- 0- 3- 4- 3- 2- 1- 2- 0- 0- 1
large,16,1- 4- 2- 3- 0- 1- 1- 0- 0- 1- 3
center,15,0- 4- 1- 3- 1- 2- 2- 0- 2- 0- 0
long,15,0- 2- 3- 3- 3- 3- 1- 0- 0- 0- 0
Scientists,14,0- 8- 3- 3- 0- 0- 0- 0- 0- 0- 0
bodies,14,0- 0- 3- 0- 7- 2- 2- 0- 0- 0- 0
scientists,14,0- 8- 3- 3- 0- 0- 0- 0- 0- 0- 0
hit,14,0- 0- 2- 0- 2- 2- 3- 2- 2- 1- 0
west,14,1- 2- 2- 3- 1- 0- 3- 0- 1- 0- 1
